item_number,correct,audio_file,SetNr,TargetIns,Comp,LVL,WiT,Condition,TimeStartSec,SongNr,NewStimFileName,ItemNr
voc_item2568_set515_wot_lvl0_comp7_t142_song32,2,voc_item2568_set515_wot_lvl0_comp7_t142_song32.wav,515,Lead,6,0,wot,1,142,32,voc_item2568_set515_wot_lvl0_comp7_t142_song32,2568
git_item2882_set945_wot_lvl0_comp7_t130_song32,2,git_item2882_set945_wot_lvl0_comp7_t130_song32.wav,945,Guitar,6,0,wot,5,130,32,git_item2882_set945_wot_lvl0_comp7_t130_song32,2882
voc_item933_set165_wit_lvl-15_comp6_t110_song33,1,voc_item933_set165_wit_lvl-15_comp6_t110_song33.wav,165,Lead,6,-15,wit,2,110,33,voc_item933_set165_wit_lvl-15_comp6_t110_song33,933
voc_item933_set165_wit_lvl-10_comp6_t110_song33,1,voc_item933_set165_wit_lvl-10_comp6_t110_song33.wav,165,Lead,6,-10,wit,2,110,33,voc_item933_set165_wit_lvl-10_comp6_t110_song33,933
voc_item933_set165_wit_lvl-5_comp6_t110_song33,1,voc_item933_set165_wit_lvl-5_comp6_t110_song33.wav,165,Lead,6,-5,wit,2,110,33,voc_item933_set165_wit_lvl-5_comp6_t110_song33,933
voc_item933_set165_wit_lvl0_comp6_t110_song33,1,voc_item933_set165_wit_lvl0_comp6_t110_song33.wav,165,Lead,6,0,wit,2,110,33,voc_item933_set165_wit_lvl0_comp6_t110_song33,933
git_item2876_set943_wit_lvl-15_comp6_t138_song33,1,git_item2876_set943_wit_lvl-15_comp6_t138_song33.wav,943,Guitar,6,-15,wit,6,138,33,git_item2876_set943_wit_lvl-15_comp6_t138_song33,2876
git_item2876_set943_wit_lvl-10_comp6_t138_song33,1,git_item2876_set943_wit_lvl-10_comp6_t138_song33.wav,943,Guitar,6,-10,wit,6,138,33,git_item2876_set943_wit_lvl-10_comp6_t138_song33,2876
git_item2876_set943_wit_lvl-5_comp6_t138_song33,1,git_item2876_set943_wit_lvl-5_comp6_t138_song33.wav,943,Guitar,6,-5,wit,6,138,33,git_item2876_set943_wit_lvl-5_comp6_t138_song33,2876
git_item2876_set943_wit_lvl0_comp6_t138_song33,1,git_item2876_set943_wit_lvl0_comp6_t138_song33.wav,943,Guitar,6,0,wit,6,138,33,git_item2876_set943_wit_lvl0_comp6_t138_song33,2876
voc_item1136_set195_wot_lvl0_comp4_t92_song34,2,voc_item1136_set195_wot_lvl0_comp4_t92_song34.wav,195,Lead,3,0,wot,3,92,34,voc_item1136_set195_wot_lvl0_comp4_t92_song34,1136
git_item3250_set988_wit_lvl-15_comp6_t232_song34,1,git_item3250_set988_wit_lvl-15_comp6_t232_song34.wav,988,Guitar,6,-15,wit,6,232,34,git_item3250_set988_wit_lvl-15_comp6_t232_song34,3250
git_item3250_set988_wit_lvl-10_comp6_t232_song34,1,git_item3250_set988_wit_lvl-10_comp6_t232_song34.wav,988,Guitar,6,-10,wit,6,232,34,git_item3250_set988_wit_lvl-10_comp6_t232_song34,3250
git_item3250_set988_wit_lvl-5_comp6_t232_song34,1,git_item3250_set988_wit_lvl-5_comp6_t232_song34.wav,988,Guitar,6,-5,wit,6,232,34,git_item3250_set988_wit_lvl-5_comp6_t232_song34,3250
git_item3250_set988_wit_lvl0_comp6_t232_song34,1,git_item3250_set988_wit_lvl0_comp6_t232_song34.wav,988,Guitar,6,0,wit,6,232,34,git_item3250_set988_wit_lvl0_comp6_t232_song34,3250
b_item961_set424_wit_lvl-15_comp6_t136_song34,1,b_item961_set424_wit_lvl-15_comp6_t136_song34.wav,424,Bass,6,-15,wit,14,136,34,b_item961_set424_wit_lvl-15_comp6_t136_song34,961
b_item961_set424_wit_lvl-10_comp6_t136_song34,1,b_item961_set424_wit_lvl-10_comp6_t136_song34.wav,424,Bass,6,-10,wit,14,136,34,b_item961_set424_wit_lvl-10_comp6_t136_song34,961
b_item961_set424_wit_lvl-5_comp6_t136_song34,1,b_item961_set424_wit_lvl-5_comp6_t136_song34.wav,424,Bass,6,-5,wit,14,136,34,b_item961_set424_wit_lvl-5_comp6_t136_song34,961
