item_number,correct,audio_file,set_nr,level,target_instrument,complexity,with_target_in_mix,condition,time_song,song_nr,item_nr,practice_item,old_audio_file_name
voc_item1578_set270_wit_lvl-15_comp3_t154_song86,1,voc_item1578_set270_wit_lvl-15_comp3_t154_song86.wav,270,-15,Lead,3,yes,33,154,86,1578,no,Lead_ItemNr(1578)_SetNr(270)_WiT_Level(-15)_Complexity(3)_Time(154)_SongNr(86).wav
voc_item1578_set270_wit_lvl-10_comp3_t154_song86,1,voc_item1578_set270_wit_lvl-10_comp3_t154_song86.wav,270,-10,Lead,3,yes,25,154,86,1578,no,Lead_ItemNr(1578)_SetNr(270)_WiT_Level(-15)_Complexity(3)_Time(154)_SongNr(86).wav
voc_item1578_set270_wit_lvl-5_comp3_t154_song86,1,voc_item1578_set270_wit_lvl-5_comp3_t154_song86.wav,270,-5,Lead,3,yes,21,154,86,1578,no,Lead_ItemNr(1578)_SetNr(270)_WiT_Level(-15)_Complexity(3)_Time(154)_SongNr(86).wav
voc_item1578_set270_wit_lvl0_comp3_t154_song86,1,voc_item1578_set270_wit_lvl0_comp3_t154_song86.wav,270,0,Lead,3,yes,9,154,86,1578,no,Lead_ItemNr(1578)_SetNr(270)_WiT_Level(-15)_Complexity(3)_Time(154)_SongNr(86).wav
voc_item3496_set919_wit_lvl-15_comp3_t194_song116,1,voc_item3496_set919_wit_lvl-15_comp3_t194_song116.wav,919,-15,Lead,3,yes,33,194,116,3496,no,Lead_ItemNr(3496)_SetNr(919)_WiT_Level(-15)_Complexity(3)_Time(194)_SongNr(116).wav
voc_item3496_set919_wit_lvl-10_comp3_t194_song116,1,voc_item3496_set919_wit_lvl-10_comp3_t194_song116.wav,919,-10,Lead,3,yes,25,194,116,3496,no,Lead_ItemNr(3496)_SetNr(919)_WiT_Level(-15)_Complexity(3)_Time(194)_SongNr(116).wav
voc_item3496_set919_wit_lvl-5_comp3_t194_song116,1,voc_item3496_set919_wit_lvl-5_comp3_t194_song116.wav,919,-5,Lead,3,yes,21,194,116,3496,no,Lead_ItemNr(3496)_SetNr(919)_WiT_Level(-15)_Complexity(3)_Time(194)_SongNr(116).wav
voc_item3496_set919_wit_lvl0_comp3_t194_song116,1,voc_item3496_set919_wit_lvl0_comp3_t194_song116.wav,919,0,Lead,3,yes,9,194,116,3496,no,Lead_ItemNr(3496)_SetNr(919)_WiT_Level(-15)_Complexity(3)_Time(194)_SongNr(116).wav
voc_item1003_set177_wit_lvl-15_comp3_t218_song55,1,voc_item1003_set177_wit_lvl-15_comp3_t218_song55.wav,177,-15,Lead,3,yes,33,218,55,1003,no,Lead_ItemNr(1003)_SetNr(177)_WiT_Level(-15)_Complexity(3)_Time(218)_SongNr(55).wav
voc_item1003_set177_wit_lvl-10_comp3_t218_song55,1,voc_item1003_set177_wit_lvl-10_comp3_t218_song55.wav,177,-10,Lead,3,yes,25,218,55,1003,no,Lead_ItemNr(1003)_SetNr(177)_WiT_Level(-15)_Complexity(3)_Time(218)_SongNr(55).wav
voc_item1003_set177_wit_lvl-5_comp3_t218_song55,1,voc_item1003_set177_wit_lvl-5_comp3_t218_song55.wav,177,-5,Lead,3,yes,21,218,55,1003,no,Lead_ItemNr(1003)_SetNr(177)_WiT_Level(-15)_Complexity(3)_Time(218)_SongNr(55).wav
voc_item1003_set177_wit_lvl0_comp3_t218_song55,1,voc_item1003_set177_wit_lvl0_comp3_t218_song55.wav,177,0,Lead,3,yes,9,218,55,1003,no,Lead_ItemNr(1003)_SetNr(177)_WiT_Level(-15)_Complexity(3)_Time(218)_SongNr(55).wav
git_item3626_set1047_wit_lvl-10_comp6_t36_song1,1,git_item3626_set1047_wit_lvl-10_comp6_t36_song1.wav,1047,-10,Guitar,6,yes,30,36,1,3626,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav
git_item3626_set1047_wit_lvl-5_comp6_t36_song1,1,git_item3626_set1047_wit_lvl-5_comp6_t36_song1.wav,1047,-5,Guitar,6,yes,18,36,1,3626,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav
git_item3626_set1047_wit_lvl0_comp6_t36_song1,1,git_item3626_set1047_wit_lvl0_comp6_t36_song1.wav,1047,0,Guitar,6,yes,14,36,1,3626,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav
git_item3626_set1047_wit_lvl-15_comp6_t36_song1,1,git_item3626_set1047_wit_lvl-15_comp6_t36_song1.wav,1047,-15,Guitar,6,yes,38,36,1,3626,no,Guitar_ItemNr(3626)_SetNr(1047)_WiT_Level(-15)_Complexity(6)_Time(36)_SongNr(1).wav
git_item71_set021_wit_lvl-15_comp6_t122_song110,1,git_item71_set021_wit_lvl-15_comp6_t122_song110.wav,21,-15,Guitar,6,yes,38,122,110,71,no,Guitar_ItemNr(71)_SetNr(021)_WiT_Level(-15)_Complexity(6)_Time(122)_SongNr(110).wav
git_item71_set021_wit_lvl-10_comp6_t122_song110,1,git_item71_set021_wit_lvl-10_comp6_t122_song110.wav,21,-10,Guitar,6,yes,30,122,110,71,no,Guitar_ItemNr(71)_SetNr(021)_WiT_Level(-15)_Complexity(6)_Time(122)_SongNr(110).wav
git_item71_set021_wit_lvl-5_comp6_t122_song110,1,git_item71_set021_wit_lvl-5_comp6_t122_song110.wav,21,-5,Guitar,6,yes,18,122,110,71,no,Guitar_ItemNr(71)_SetNr(021)_WiT_Level(-15)_Complexity(6)_Time(122)_SongNr(110).wav
git_item71_set021_wit_lvl0_comp6_t122_song110,1,git_item71_set021_wit_lvl0_comp6_t122_song110.wav,21,0,Guitar,6,yes,14,122,110,71,no,Guitar_ItemNr(71)_SetNr(021)_WiT_Level(-15)_Complexity(6)_Time(122)_SongNr(110).wav
